skill,years_experience,demand_score,automation_risk,learning_trend,risk_level
Manual Testing,5,7,10,8,Medium
AI Engineer,5,1,10,8,High
Ethical Hacking,10,9,6,4,Medium
Game Development,11,6,9,10,Medium
TensorFlow,10,5,10,5,High
Java,7,7,6,4,Medium
Google Cloud,3,1,9,7,High
Cloud Computing,7,9,10,3,High
CI/CD,3,10,10,7,Medium
C,10,2,7,4,High
Data Science,9,7,4,4,Medium
Python,9,3,4,9,Medium
Ethical Hacking,9,9,5,3,Medium
AI Engineer,11,3,8,6,High
UI/UX Design,6,1,6,6,High
Spark,2,9,9,1,High
AI Engineer,10,9,5,6,Low
TypeScript,10,10,7,2,Medium
Blockchain,7,7,9,9,Medium
Deep Learning,3,9,4,4,Low
Figma,11,1,4,4,High
Tableau,7,6,9,10,Medium
Data Science,6,6,5,9,Low
Deep Learning,6,3,7,3,High
C,9,6,3,8,Low
Google Cloud,11,1,1,4,Medium
Power BI,2,3,6,2,High
Google Cloud,9,2,9,5,High
Game Development,5,10,10,4,Medium
Node.js,5,7,5,2,Medium
React,7,3,1,9,Low
Excel,8,5,6,2,High
Unity,3,6,2,8,Low
SQL,10,7,1,9,Low
Cloud Computing,6,1,7,1,High
TypeScript,8,4,8,3,High
Hadoop,9,5,1,8,Low
React,10,4,5,9,Medium
Cybersecurity,3,8,7,3,Medium
Node.js,11,2,8,5,High
iOS,9,7,1,4,Low
Flutter,1,6,4,1,Medium
Angular,3,10,2,6,Low
Hadoop,5,7,7,2,High
Hadoop,7,1,1,5,Medium
Adobe XD,7,2,3,3,Medium
SQL,11,2,3,7,Medium
Manual Testing,1,10,8,1,Medium
Unity,5,8,8,6,Medium
Deep Learning,7,10,10,2,High
Mobile Development,1,2,4,1,High
Mobile Development,12,7,5,4,Medium
TypeScript,7,7,8,8,Medium
Spark,1,9,10,5,Medium
Cybersecurity,8,1,10,6,High
Docker,1,3,3,5,Medium
Android,5,2,8,1,High
Flutter,4,3,6,3,High
SQL,8,4,5,10,Low
DevOps,5,7,5,3,Medium
Machine Learning,4,2,6,2,High
NLP,3,2,6,10,Medium
Docker,1,1,4,8,Medium
DevOps,3,10,5,10,Low
UI/UX Design,4,7,1,8,Low
Flutter,7,2,7,2,High
Excel,9,6,4,10,Low
Data Science,7,8,2,8,Low
Java,9,3,8,7,High
Flutter,9,8,10,5,High
Android,7,1,2,7,Medium
TypeScript,12,5,7,5,Medium
Unity,6,9,9,3,High
Python,7,3,4,5,Medium
C++,1,6,3,7,Low
Vue,11,9,8,3,Medium
Vue,6,9,8,2,Medium
TensorFlow,3,3,4,2,High
Azure,6,5,7,3,High
Automation Testing,9,4,9,8,High
Spark,1,2,1,8,Low
Data Science,12,7,4,6,Low
Unity,6,3,6,3,High
Android,12,2,10,4,High
SQL,2,5,5,2,Medium
Flask,1,3,2,7,Low
CI/CD,2,5,3,2,Medium
Spark,12,8,1,6,Low
Vue,12,9,9,4,Medium
NoSQL,3,5,10,10,Medium
Power BI,5,6,9,10,Medium
Java,11,1,4,9,Medium
NLP,5,8,3,9,Low
CI/CD,12,9,7,2,Medium
TensorFlow,11,7,4,6,Low
Django,3,8,7,2,Medium
Ethical Hacking,12,10,8,9,Low
Automation Testing,6,8,9,10,Medium
Deep Learning,12,3,9,6,High
Flask,5,7,4,10,Low
Tableau,10,5,5,1,High
DevOps,12,1,6,6,High
Adobe XD,7,5,3,1,Medium
Deep Learning,8,10,9,6,Medium
Deep Learning,4,10,1,6,Low
Google Cloud,2,4,2,1,Medium
Cybersecurity,5,4,7,2,High
Hadoop,4,4,1,7,Low
React,8,4,10,3,High
Azure,8,9,10,9,Medium
Unity,9,1,8,7,High
NoSQL,3,10,10,9,Medium
Java,3,10,10,1,High
Mobile Development,1,4,6,2,High
NoSQL,11,1,8,9,High
Android,9,6,4,6,Medium
Mobile Development,11,6,10,2,High
Cybersecurity,3,9,1,2,Low
NLP,2,1,5,9,Medium
CI/CD,7,10,9,1,High
Excel,10,6,6,1,High
Tableau,12,8,3,2,Medium
Flutter,5,7,4,10,Low
Flutter,4,7,6,5,Medium
UI/UX Design,9,8,2,1,Medium
AI Engineer,3,10,6,5,Low
Spring Boot,5,10,2,2,Low
Cloud Computing,7,10,7,6,Medium
Django,10,2,7,7,High
Spring Boot,12,1,8,6,High
Machine Learning,1,4,5,2,High
Azure,1,1,5,3,High
Automation Testing,7,7,3,2,Medium
